1027,AMRT,Sumber Alfaria Trijaya Tbk.,
1020,SIAP,Sekawan Intipratama Tbk,
1015,TRAM,Trada Maritime Tbk.,
1013,BYAN,Bayan Resources Tbk.,
1011,HOME,Hotel Mandarine Regency Tbk.,
1010,ADRO,Adaro Energy Tbk.,
1004,KBRI,Kertas Basuki Rachmat Indonesia Tbk.,
999,PDES,Destinasi Tirta Nusantara Tbk,
995,VRNA,Verena Multi Finance Tbk.,
992,INDY,Indika Energy Tbk.,
991,BSDE,Bumi Serpong Damai Tbk.,
990,TPIA,Chandra Asri Petrochemical Tbk.,
989,GZCO,Gozco Plantations Tbk.,
982,KOIN,Kokoh Inti Arebama Tbk,
977,BTPN,Bank Tabungan Pensiunan Nasional Tbk.,
975,YPAS,Yanaprima Hastapersada Tbk,
973,ELSA,Elnusa Tbk.,
972,TRIL,Triwira Insanlestari Tbk.,
964,BAPA,Bekasi Asri Pemula Tbk.,
960,DGIK,Nusa Konstruksi Enjiniring Tbk.,
959,COWL,Cowell Development Tbk.,
958,R-LQ45X,Premier ETF LQ-45 (R-LQ45X),
957,R-ABFII,Asian Bond Fund - Indonesia Bond Index Fund,
956,ITMG,Indo Tambangraya Megah Tbk.,
954,ASRI,Alam Sutera Realty Tbk.,
951,CSAP,Catur Sentosa Adiprana Tbk.,
948,JKON,Jaya Konstruksi Manggala Pratama Tbk.,
945,MYOH,Samindo Resources Tbk.,
944,KBLV,First Media Tbk.,
943,SMMT,Golden Eagle Energy Tbk.,
942,PSKT,Red Planet Indonesia Tbk.,
941,PSAB,J Resources Asia Pasifik Tbk.,
940,PGLI,Pembangunan Graha Lestari Indah Tbk.,
939,INPP,Indonesian Paradise Property Tbk.,
938,ICON,Island Concepts Indonesia Tbk.,
937,GMCW,Grahamas Citrawisata Tbk.,
934,OKAS,Ancora Indonesia Resources Tbk.,
933,OCAP,Onix Capital Tbk.,
932,DKFT,Central Omega Resources Tbk.,
931,AGRO,Bank Rakyat Indonesia Agroniaga Tbk.,
929,SCBD,Danayasa Arthatama Tbk.,
925,INRU,Toba Pulp Lestari Tbk.,
922,ITMA,Sumber Energi Andalan Tbk.,
921,KIAS,Keramika Indonesia Assosiasi Tbk.,
917,JSMR,Jasa Marga (Persero) Tbk.,
